iter	Passed	Remaining
405	6399	1481
406	6415	1465
407	6430	1450
408	6447	1434
409	6464	1419
410	6480	1403
411	6494	1387
412	6509	1371
413	6524	1355
414	6540	1339
415	6555	1323
416	6570	1307
417	6585	1291
418	6599	1275
419	6616	1260
420	6631	1244
421	6645	1228
422	6661	1212
423	6678	1197
424	6692	1181
425	6708	1165
426	6723	1149
427	6739	1133
428	6753	1117
429	6768	1101
430	6782	1085
431	6796	1069
432	6811	1053
433	6826	1038
434	6839	1022
435	6854	1006
436	6868	990
437	6883	974
438	6900	958
439	6914	942
440	6927	926
441	6942	911
442	6957	895
443	6973	879
444	6990	863
445	7004	848
446	7020	832
447	7035	816
448	7050	800
449	7066	785
450	7080	769
451	7097	753
452	7115	738
453	7129	722
454	7144	706
455	7159	690
456	7174	675
457	7188	659
458	7202	643
459	7216	627
460	7230	611
461	7246	596
462	7260	580
463	7274	564
464	7288	548
465	7303	532
466	7317	517
467	7333	501
468	7346	485
469	7362	469
470	7377	454
471	7390	438
472	7404	422
473	7418	406
474	7433	391
475	7448	375
476	7465	359
477	7480	344
478	7497	328
479	7512	313
480	7526	297
481	7541	281
482	7556	265
483	7571	250
484	7584	234
485	7600	218
486	7614	203
487	7630	187
488	7645	171
489	7660	156
490	7675	140
491	7690	125
492	7706	109
493	7721	93
494	7735	78
495	7750	62
496	7764	46
497	7781	31
498	7798	15
499	7813	0
