iter	RMSE
137	685.5272524
138	682.9441898
139	680.2467081
140	677.6480378
141	675.1264126
142	672.6463937
143	670.330966
144	667.9589223
145	665.6983448
146	663.5199408
147	661.3884319
148	659.3446568
149	657.3062202
150	655.3958095
151	653.490349
152	651.6281576
153	649.7560258
154	647.8887297
155	646.2281279
156	644.4501292
157	642.8371887
158	641.2419738
159	639.7045235
160	638.1442022
161	636.7057285
162	635.379762
163	634.0340632
164	632.6773961
165	631.3639709
166	630.1066013
167	628.9018053
168	627.7097298
169	626.5265912
170	625.3768028
171	624.1941324
172	623.0983064
173	622.0483859
174	620.9632787
175	619.8939455
176	618.9187493
177	617.9642504
178	617.0303512
179	616.0789105
180	615.1972328
181	614.3485211
182	613.5421471
183	612.7566994
184	611.9391783
185	611.1774342
186	610.3876811
187	609.6571112
188	608.9086056
189	608.1627167
190	607.4670772
191	606.7860247
192	606.1235037
193	605.4797938
194	604.8311856
195	604.2458414
196	603.6583872
197	603.0653284
198	602.4928358
199	601.9772215
200	601.4297303
201	600.8961784
202	600.4339192
203	600.0017643
204	599.4557536
205	598.9628835
206	598.4690011
207	598.0094149
208	597.5661578
209	597.1354259
210	596.6776831
211	596.3037259
212	595.9146645
213	595.5035413
214	595.1171949
215	594.7201017
216	594.3395449
217	593.9678599
218	593.6165552
219	593.2562119
220	592.9179678
221	592.5509812
222	592.1785396
223	591.7887538
224	591.4750454
225	591.1142154
226	590.7912563
227	590.4453743
228	590.1343726
229	589.8484456
230	589.5737518
231	589.2428168
232	588.9590612
233	588.6752703
234	588.4291366
235	588.1531812
236	587.9122828
237	587.6669563
238	587.3971002
239	587.1777956
240	586.8943097
241	586.6520569
242	586.4110129
243	586.1679875
244	585.9547833
245	585.7179784
246	585.455175
247	585.2631052
248	585.0556136
249	584.8489482
250	584.6861277
251	584.4681494
252	584.2488143
253	584.0166447
254	583.8141542
255	583.598575
256	583.4058129
257	583.2346507
258	583.0462805
259	582.8668345
260	582.6938894
261	582.5305419
262	582.355789
263	582.1797723
264	582.0435279
265	581.8690082
266	581.7070546
267	581.5517426
268	581.4181691
269	581.2726884
270	581.1080395
271	580.9824379
272	580.8223421
273	580.6629351
274	580.5430062
275	580.4242373
276	580.2780757
277	580.1081661
278	579.9664148
279	579.8264708
280	579.6928834
281	579.5875553
282	579.4691399
283	579.3534188
284	579.2677361
285	579.1042296
286	579.0031187
287	578.865804
288	578.7549532
289	578.6568827
290	578.5040591
291	578.392453
292	578.2860072
293	578.1621195
294	578.0456146
295	577.9428709
296	577.8538532
297	577.7513774
298	577.6623491
299	577.5687825
300	577.4701125
301	577.362418
302	577.2588125
303	577.1326249
304	577.0210992
305	576.919709
306	576.845794
307	576.7573453
308	576.6794183
309	576.5640529
310	576.4913364
311	576.3929468
312	576.3185652
313	576.2126804
314	576.1218433
315	576.0562893
316	575.9803041
317	575.8994038
318	575.8363005
319	575.7565054
320	575.667882
321	575.5999225
322	575.5260732
323	575.4331001
324	575.3646482
325	575.2973351
326	575.2029931
327	575.0993063
328	575.0167311
329	574.922495
330	574.8522939
331	574.7687823
332	574.6961658
333	574.632283
334	574.5399443
335	574.4733868
336	574.3740551
337	574.2637655
338	574.1985971
339	574.1244879
340	574.0690184
341	574.0000771
342	573.9353254
343	573.8812974
344	573.8204432
345	573.7341789
346	573.6863033
347	573.6170203
348	573.5196316
349	573.4288794
350	573.3910517
351	573.3257553
352	573.2583367
353	573.1941896
354	573.1244365
355	573.0469635
356	572.9789867
357	572.9021681
358	572.8492856
359	572.785018
360	572.7203743
361	572.6748941
362	572.6315108
363	572.584645
364	572.5234465
365	572.4493783
366	572.3809184
367	572.2925567
368	572.2396024
369	572.188351
370	572.1313105
371	572.0539544
372	571.9778818
373	571.9229323
374	571.8856062
375	571.83296
376	571.7824814
377	571.7409198
378	571.6905636
379	571.6506533
380	571.5989048
381	571.5290383
382	571.4934102
383	571.4446264
384	571.3959215
385	571.3049776
386	571.2595426
387	571.2116029
388	571.1714825
389	571.0931684
390	571.0554402
391	570.998308
392	570.9282711
393	570.8743972
394	570.8309161
395	570.7934702
396	570.7356392
397	570.7003543
398	570.6019456
399	570.5536871
400	570.5118697
401	570.4487663
402	570.3842773
403	570.3176672
404	570.2542829
405	570.2117563
406	570.1398416
407	570.0842655
408	570.0577125
409	569.9956856
410	569.943161
411	569.89162
412	569.8573058
413	569.8206713
414	569.7505059
415	569.6995893
416	569.6533317
417	569.579753
418	569.5378279
419	569.4804325
420	569.4415265
421	569.3891449
422	569.3363073
423	569.2734041
424	569.2217667
425	569.1857406
426	569.1663635
427	569.1190257
428	569.0527525
429	568.9995346
430	568.9390997
431	568.8844302
432	568.8316998
433	568.7949962
434	568.7280311
435	568.6986784
436	568.6412105
437	568.5887888
438	568.5410034
439	568.4813444
440	568.4486693
441	568.4128793
442	568.3698974
443	568.3363651
444	568.3054047
445	568.2601398
446	568.2344711
447	568.2023926
448	568.1633095
449	568.1124212
450	568.0696377
451	568.0330571
452	567.9737004
453	567.9230104
454	567.8956859
455	567.8642964
456	567.8280208
457	567.7979737
458	567.76197
459	567.7203449
460	567.6923644
461	567.6677658
462	567.6277238
463	567.5855888
464	567.5528953
465	567.5110839
466	567.4816733
467	567.4593882
468	567.4228429
469	567.376204
470	567.3316909
471	567.2820424
472	567.2445287
473	567.207242
474	567.1735863
475	567.1341129
476	567.1035637
477	567.0616623
478	567.0299241
479	567.0060456
480	566.9768964
481	566.9377028
482	566.8966016
483	566.8607187
484	566.7864888
485	566.7469052
486	566.7075279
487	566.6866525
488	566.6571873
489	566.6289603
490	566.6004116
491	566.5716466
492	566.5496379
493	566.4987872
494	566.4729441
495	566.4254393
496	566.394474
497	566.3679812
498	566.3227726
499	566.250731
500	566.2194727
501	566.1665789
502	566.1429532
503	566.0862609
504	566.060935
505	566.0227285
506	566.0041014
507	565.97472
508	565.9365913
509	565.9002298
510	565.8673075
511	565.8486437
512	565.8188153
513	565.7845673
514	565.748848
515	565.7136569
516	565.6698021
517	565.640958
518	565.5811086
519	565.5524539
520	565.518446
521	565.4888467
522	565.461926
523	565.4294831
524	565.381259
525	565.3597313
526	565.3292657
527	565.2856974
528	565.2515401
529	565.2301428
530	565.2005743
531	565.149698
532	565.1264457
533	565.1000772
534	565.0781525
535	565.0407572
536	564.9737447
537	564.9401611
538	564.8691937
539	564.8531781
540	564.8237973
541	564.7928438
542	564.778025
543	564.7599753
544	564.7110682
545	564.6808807
546	564.6523826
547	564.6050572
548	564.5564177
549	564.5190251
550	564.4658117
551	564.4002699
552	564.3815253
553	564.3436685
554	564.3142576
555	564.2709332
556	564.2318509
557	564.1909639
558	564.1378727
559	564.1017683
560	564.0643272
561	564.0185572
562	564.0008084
563	563.9838195
564	563.9389821
565	563.8897912
566	563.8560333
567	563.8174232
568	563.7982439
569	563.7732658
570	563.7286842
571	563.702099
572	563.6745951
573	563.6624534
574	563.6223457
575	563.5879429
576	563.5504896
577	563.5315125
578	563.4968057
579	563.4710581
580	563.4330257
581	563.3955115
582	563.3577877
583	563.3308141
584	563.3143728
585	563.2897271
586	563.2605958
587	563.215053
588	563.1668241
589	563.1549032
590	563.1200713
591	563.078717
592	563.0576665
593	563.0511295
594	563.0389011
595	563.0152255
596	562.9791055
597	562.9552922
598	562.9315452
599	562.9038585
